Va,Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0,0,1,0,0.12288751432342973,0.20148942254140323,0.00017837527704632185,0.001031948140234459,8.871492524631287e-08,4.0101581671345653e-07,9.057696181703532e-08,9.343643700517165e-07,0.00010278426460882996,0.017802163416990556,2.042360913983276e-06,0.00035373549526841687,0.18248777530149815
0,0,3,0,0.018105252820570378,0.029449940288170495,2.167128050915915e-05,0.00012241807884043505,2.354586136821636e-08,1.1366158001659024e-07,9.51162893710338e-08,9.347508473431994e-07,0.0001027891646301646,0.017803012097290776,2.0423597618803465e-06,0.0003537352957249876,0.02988787830012232
0,0,5,0,0.0023243679566119545,0.0037794468431826544,2.746526668765824e-06,1.5412320927301465e-05,3.0612399573679348e-09,1.480294354618255e-08,9.456528884103308e-08,9.347101593641941e-07,0.00010278856025209169,0.017802907419427284,2.0423599123619456e-06,0.00035373532178829635,0.0037723137098133828
0,0,7,0,0.00029854125196128445,0.0004854308894444159,3.505842361914146e-07,1.965032079897372e-06,3.9343735769155177e-10,1.9025331546729946e-09,9.463479778793929e-08,9.347152172212619e-07,0.00010278863715799719,0.017802920739476834,2.042359893021383e-06,0.00035373531843852434,0.00048554870763251366
0,0,9,0,3.819453584196481e-05,6.210420328400801e-05,4.4816895187269713e-08,2.511358267991842e-07,5.0343796987999443e-11,2.4344970909529785e-10,9.462592618485092e-08,9.347145802704317e-07,0.0001027886273341215,0.017802919037988373,2.0423598954963677e-06,0.00035373531886719,6.210225280316123e-05
0,0,11,0,4.8850373453328756e-06,7.943049691760962e-06,5.730769661651493e-09,3.21113954905583e-08,6.438989921772408e-12,3.113723073323339e-11,9.462706015993112e-08,9.347146599552645e-07,0.00010278862859015935,0.017802919255533258,2.0423598951796316e-06,0.0003537353188123315,7.94306106362191e-06
0,0,13,0,6.247116690173115e-07,1.0157780110375825e-06,7.32834395770729e-10,4.106277531543134e-09,8.234089189542994e-13,3.981777689683608e-12,9.462691516030132e-08,9.347146499290139e-07,0.0001027886284295377,0.0178029192277137,2.0423598952202015e-06,0.00035373531881935816,1.0157577294201315e-06
0,0,15,0,7.988774265542837e-08,1.298968506091569e-07,9.371067657104519e-11,5.250900790565449e-10,1.0530042883224261e-13,5.092635026789777e-13,9.462693369973975e-08,9.347146431970686e-07,0.00010278862845007787,0.017802919231271242,2.0423598952149757e-06,0.00035373531881845307,1.298822487058844e-07
0,0,17,0,1.0215357672610318e-08,1.6610140818329455e-08,1.1987283905734045e-11,6.716842186615946e-11,1.3496456896000729e-14,6.538245964603229e-14,9.462693132998314e-08,9.347146467020189e-07,0.00010278862844745885,0.01780291923081763,2.0423598952155695e-06,0.00035373531881855596,1.6613509810338244e-08
0.0,1,1,0.0,0.000216855339609603,0.0003205822691256799,4.413356846980924e-06,6.9840578925439755e-06,4.3602370647988215e-06,7.056728188771311e-06,9.473477947498805e-08,9.347178493074376e-07,0.00010278874676806754,0.01780293972386507,2.042359780880438e-06,0.00035373529901480514,9.00041235619215
