Va,Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0,0,1,0,0.12288751432342973,0.20148942254140323,0.00017837527704632185,0.001031948140234459,8.871492524631287e-08,4.0101581671345653e-07,9.057696181703532e-08,9.343643700517165e-07,0.00010278426460882996,0.017802163416990556,2.042360913983276e-06,0.00035373549526841687,0.18248777530149815
0.2,1,1,0.2,0.04045679040911867,0.06550629601692037,1.0454014231664523e-05,5.946333290066455e-05,7.127712899303543e-07,3.238273702454444e-06,1.0261228137960028e-07,9.351381592237702e-07,0.00010282204403691037,0.017808706787758883,2.0426282698898785e-06,0.0003537818011262031,0.14027664366434292
0.2,1,3,0.2,0.004244429715834336,0.006942141030432225,5.075091864472009e-06,2.60409084033731e-05,8.724335906696557e-08,3.9324000888676914e-07,1.0202833341984913e-07,9.351076843240478e-07,0.00010282125518129174,0.01780857015851231,2.0426282938347507e-06,0.0003537818052734402,0.015635884496547105
0.2,1,5,0.2,0.00010281093190850689,0.00022983280156196884,3.900729087074031e-07,1.9082485198116186e-06,9.42644371957195e-09,4.214597239290247e-08,1.0205215065816762e-07,9.351093183923199e-07,0.00010282123477158906,0.01780856662356595,2.042628242005164e-06,0.00035378179629659166,0.001828817097966431
0.2,1,7,0.2,6.269020188832131e-05,0.00010311169027232836,3.586064183413351e-08,2.071880006049992e-07,8.922786025077479e-10,3.939001572969081e-09,1.020655234520492e-07,9.351100744254228e-07,0.00010282124563830096,0.01780856850567292,2.0426282307249004e-06,0.00035378179434285783,0.00021280163616772235
0.2,1,9,0.2,4.150471894577727e-06,6.9960725959106185e-06,9.89301922154431e-09,5.411017353629255e-08,8.04273273504208e-11,3.45630995991688e-10,1.0206682266688742e-07,9.351101417544332e-07,0.0001028212473092989,0.01780856879508861,2.042628229411825e-06,0.00035378179411543406,2.5362359188162458e-05
0.2,1,11,0.2,5.763503684943305e-07,9.820472737231967e-07,6.208159548204836e-10,3.5552639113950457e-09,7.80789309147508e-12,3.208479180038734e-11,1.0206678196470244e-07,9.351101370106455e-07,0.0001028212473569637,0.017808568803344117,2.0426282293051287e-06,0.00035378179409695443,3.0981642417295664e-06
0.2,1,13,0.2,1.2194396071953758e-07,2.0214014107011735e-07,6.635123492337816e-11,3.0041587446849594e-10,7.730804308041889e-13,3.0162442910073445e-12,1.0206675884758649e-07,9.351101368331421e-07,0.00010282124734088346,0.017808568800559033,2.042628229294092e-06,0.0003537817940950428,3.8262800108784116e-07
0.2,1,15,0.2,4.365134259061394e-09,7.526107737021448e-09,1.4082793665507002e-11,7.084831506187772e-11,5.665660182333236e-14,2.1762328945200762e-13,1.0206675670403506e-07,9.351101296821018e-07,0.00010282124733870882,0.017808568800182386,2.042628229291658e-06,0.0003537817940946213,4.644274350953034e-08
0.2,1,17,0.2,1.4692662529052778e-09,2.26420127091842e-09,4.215524257920757e-13,2.66018283789915e-12,4.7178747063111786e-15,2.6324618483328233e-14,1.0206675674044379e-07,9.351101367854313e-07,0.00010282124733869703,0.017808568800180346,2.0426282292912865e-06,0.00035378179409455694,5.501693289871651e-09
