Va,Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0,0,1,0,0.12288751432342973,0.20148942254140323,0.00017837527704632185,0.001031948140234459,8.871492524631287e-08,4.0101581671345653e-07,9.057696181703532e-08,9.343643700517165e-07,0.00010278426460882996,0.017802163416990556,2.042360913983276e-06,0.00035373549526841687,0.18248777530149815
0.2,1,1,0.2,0.035128029275624945,0.05687814235755617,1.1046381591892034e-05,4.3169044326352504e-05,9.708556753387235e-07,4.422392799761866e-06,1.0328656620639619e-07,9.351745570798338e-07,0.00010282268653050893,0.017808818067205006,2.0426280524520685e-06,0.0003537817634661172,0.22270556531649638
0.2,1,3,0.2,0.008510827954711824,0.01382828491228949,5.897405916022792e-06,3.135962740092452e-05,1.8123144467394482e-07,8.208412730225268e-07,1.0219738307015882e-07,9.351165852655972e-07,0.00010282150106836627,0.017808612745983245,2.042628286141398e-06,0.00035378180394095656,0.03489921171141319
0.2,1,5,0.2,0.0009717158702218738,0.0016071012457903322,1.801359491284531e-06,9.205932893701502e-06,3.2415688167388405e-08,1.4593785492073756e-07,1.0205268570138815e-07,9.351091988451039e-07,0.0001028212590111916,0.017808570821848318,2.042628261002841e-06,0.0003537817995869762,0.006262339327422916
0.2,1,7,0.2,3.2931448222711395e-05,8.464645352290745e-05,2.4713416667483087e-07,1.2202655232150875e-06,5.4059700891865525e-09,2.41828412987134e-08,1.020579140827653e-07,9.351096270231564e-07,0.00010282124103947669,0.017808567709159746,2.0426282380076422e-06,0.0003537817956042237,0.0011140704195418411
0.2,1,9,0.2,3.4711286212803404e-05,5.7964161030099604e-05,4.967265527205075e-09,2.552913616095387e-08,8.358452579378993e-10,3.707067857517494e-09,1.0206487988888612e-07,9.351100291483672e-07,0.00010282124523399972,0.017808568435648226,2.042628231015108e-06,0.0003537817943931216,0.00019591051562112502
0.2,1,11,0.2,6.881270452651921e-06,1.1339046508851425e-05,8.389605260650288e-09,4.696307428185553e-08,1.2216824790647705e-10,5.340447777469996e-10,1.0206656404069681e-07,9.351101211136158e-07,0.00010282124699427318,0.01780856874052637,2.0426282295636606e-06,0.00035378179414173193,3.482255445890912e-05
0.2,1,13,0.2,4.6040143796446305e-07,8.040047987378784e-07,2.1201379117078088e-09,1.1648957118359782e-08,1.7662900110637705e-11,7.530378821592534e-11,1.0206676883935483e-07,9.351101358315257e-07,0.00010282124731678448,0.017808568796385104,2.0426282293297075e-06,0.0003537817941012114,6.26039548241869e-06
0.2,1,15,0.2,1.3209471063061725e-07,2.2800606735984275e-07,2.6307261705805263e-10,1.4801050645524283e-09,2.6462933552139043e-12,1.0878151190159974e-11,1.0206676606630738e-07,9.351101296974988e-07,0.00010282124734355378,0.01780856880102153,2.0426282292976223e-06,0.0003537817940956543,1.1401956811483633e-06
0.2,1,17,0.2,4.6427279296475536e-08,7.725920170287282e-08,6.6615804966271556e-12,2.9249959876062603e-11,4.0626873744857003e-13,1.6019006731987293e-12,1.0206675874774849e-07,9.351101297114888e-07,0.00010282124734049285,0.01780856880049138,2.0426282292925977e-06,0.0003537817940947841,2.0931557784775946e-07
